company_name,cik,pre_ipo_patent_count
"SANCILIO PHARMACEUTICALS COMPANY, INC.",0001641908,0
"Matinas BioPharma Holdings, Inc.",0001582554,2
Scopus Biopharma Inc.,0001772028,0
Regen BioPharma Inc,0001589150,1
Celsus Therapeutics Plc.,0001541157,0
BiomX Inc.,0001739174,0
Zomedica Pharmaceuticals Corp.,0001684144,0
"Bellerophon Therapeutics, Inc.",0001600132,0
"Kadmon Holdings, Inc.",0001557142,11
"Zander Therapeutics, Inc",0001718644,0
Aralez Pharmaceuticals Ltd,0001648419,1
"Amneal Pharmaceuticals, Inc.",0001723128,10
"Nemus Bioscience, Inc.",0001516551,0
"RELMADA THERAPEUTICS, INC.",0001553643,4
PREMIER BIOMEDICAL INC,0001515740,0
"Cell Source, Inc.",0001569340,0
"LEAP THERAPEUTICS, INC.",0001509745,0
"Evofem Biosciences, Inc.",0001618835,0
"NANOANTIBIOTICS, INC.",0001580149,0
"EYENOVIA, INC.",0001682639,8
Kannalife Inc,0001615999,0
"ALPINE IMMUNE SCIENCES, INC.",0001626199,0
"Enumeral Biomedical Holdings, Inc.",0001561551,0
"Propanc Biopharma, Inc.",0001517681,0
"Frequency Therapeutics, Inc.",0001703647,10
"Y-mAbs Therapeutics, Inc.",0001722964,0
"Durata Therapeutics, Inc.",0001544116,0
"ARMO BioSciences, Inc.",0001693664,9
"TFF Pharmaceuticals, Inc.",0001733413,0
Principia Biopharma Inc.,0001510487,29
"Braeburn Pharmaceuticals, Inc.",0001688765,0
"Juno Therapeutics, Inc.",0001594864,1
Egalet Corp,0001586105,14
"AUDEO ONCOLOGY, INC.",0001552899,0
"Inhibrx, Inc.",0001739614,19
"Clearside Biomedical, Inc.",0001539029,6
"BioCardia, Inc.",0001635886,43
"G1 Therapeutics, Inc.",0001560241,17
scPharmaceuticals Inc.,0001604950,1
"Flex Pharma, Inc.",0001615219,1
MultiVir Inc.,0001613490,1
FIBROGEN INC,0000921299,0
Allakos Inc.,0001564824,4
"Sage Therapeutics, Inc.",0001597553,5
"Evelo Biosciences, Inc.",0001694665,3
"Unum Therapeutics, Inc.",0001622229,1
"AveXis, Inc.",0001652923,0
"Recro Pharma, Inc.",0001588972,3
Abpro Corp,0001670356,0
