cik,company_name,ticker,ipo_date,ipo_year,founding_year,years_to_ipo,total_pre_ipo_capital_m,num_rounds_detected,capital_efficiency_m,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pipeline_concentration,pre_ipo_had_terminated_or_withdrawn,pre_ipo_patent_count,ip_density,pubmed_pre_ipo_count,bucket,exit_reason,exit_subtype,sic,sic_description
0001727196,Scholar Rock Holding Corp,SRRK,2018-05-24,2018.0,2012.0,6.0,47.0,1,7.83,0,,0,,False,10,inf,0,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001468748,Kodiak Sciences Inc,KOD,2018-10-04,2018.0,2009.0,9.0,,0,,0,,0,,False,4,inf,0,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001730430,Kiniksa Pharmaceuticals LTD,KNSA,2018-05-24,2018.0,2015.0,3.0,,0,,1,2.0,1,1.0,False,5,5.0,3,actively_filing,,,2834.0,Pharmaceutical Preparations
0001595248,Genprex,GNPX,2018-03-29,2018.0,2009.0,9.0,3.1,1,0.34,1,2.0,1,1.0,True,0,0.0,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001724521,Arcus Biosciences Inc,RCUS,2018-03-15,2018.0,2015.0,3.0,107.4,3,35.8,0,,0,,False,3,inf,236,actively_filing,,,2834.0,Pharmaceutical Preparations
0001720893,Bioxcel Therapeutics Inc,BTAI,2018-03-08,2018.0,2017.0,1.0,,0,,0,,0,,False,0,,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001570562,Evolus Inc,EOLS,2018-02-08,2018.0,2012.0,6.0,15.0,1,2.5,4,3.0,1,4.0,False,0,0.0,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001684693,Sol-Gel Technologies Ltd,SLGL,2018-02-01,2018.0,1997.0,21.0,,0,,3,2.0,3,1.0,True,17,5.667,47,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001707502,Solid Biosciences LLC,SLDB,2018-01-26,2018.0,2013.0,5.0,,0,,1,2.0,1,1.0,False,0,0.0,0,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001645460,Cue Biopharma Inc,CUE,2018-01-02,2018.0,2014.0,4.0,,0,,0,,0,,False,0,,0,actively_filing,,,2834.0,Pharmaceutical Preparations
