company_name,cik,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pre_ipo_had_terminated_or_withdrawn
"Turning Point Therapeutics, Inc.",0001595893,1,2.0,2,False
Iterum Therapeutics Ltd,0001659323,1,4.0,2,False
Prevail Therapeutics Inc.,0001714798,0,,0,False
Axcella Health Inc.,0001633070,2,-1.0,2,False
"Zynerba Pharmaceuticals, Inc.",0001621443,0,,0,False
"Odonate Therapeutics, LLC",0001717452,0,,0,False
"Sienna Biopharmaceuticals, Inc.",0001656328,0,,0,False
4D Molecular Therapeutics Inc,0001650648,4,2.0,3,True
"Atreca, Inc.",0001532346,0,,0,False
"BeiGene, Ltd.",0001651308,32,3.0,40,False
"Spring Bank Pharmaceuticals, Inc.",0001566373,0,,0,False
"Adgero Biopharmaceuticals Holdings, Inc.",0001657598,0,,0,False
Phio Pharmaceuticals Corp.,0001533040,0,,0,False
"TYME TECHNOLOGIES, INC.",0001537917,0,,0,False
"SpringWorks Therapeutics, Inc.",0001773427,1,3.0,2,False
Urovant Sciences Ltd.,0001740547,5,3.0,2,True
"Outlook Therapeutics, Inc.",0001649989,0,,0,False
"SANCILIO PHARMACEUTICALS COMPANY, INC.",0001641908,0,,0,False
"Matinas BioPharma Holdings, Inc.",0001582554,0,,0,False
Scopus Biopharma Inc.,0001772028,0,,0,False
Regen BioPharma Inc,0001589150,0,,0,False
Celsus Therapeutics Plc.,0001541157,0,,0,False
BiomX Inc.,0001739174,0,,0,False
Zomedica Pharmaceuticals Corp.,0001684144,0,,0,False
"Bellerophon Therapeutics, Inc.",0001600132,0,,0,False
"Kadmon Holdings, Inc.",0001557142,15,4.0,16,True
"Zander Therapeutics, Inc",0001718644,0,,0,False
Aralez Pharmaceuticals Ltd,0001648419,0,,0,False
"Amneal Pharmaceuticals, Inc.",0001723128,10,3.0,14,False
"Nemus Bioscience, Inc.",0001516551,0,,0,False
"RELMADA THERAPEUTICS, INC.",0001553643,0,,0,False
PREMIER BIOMEDICAL INC,0001515740,0,,0,False
"Cell Source, Inc.",0001569340,0,,0,False
"LEAP THERAPEUTICS, INC.",0001509745,6,1.0,13,False
"Evofem Biosciences, Inc.",0001618835,0,,0,False
"NANOANTIBIOTICS, INC.",0001580149,0,,0,False
"EYENOVIA, INC.",0001682639,1,2.0,1,False
Kannalife Inc,0001615999,0,,0,False
"ALPINE IMMUNE SCIENCES, INC.",0001626199,0,,0,False
"Enumeral Biomedical Holdings, Inc.",0001561551,0,,0,False
"Propanc Biopharma, Inc.",0001517681,0,,0,False
"Frequency Therapeutics, Inc.",0001703647,2,2.0,2,False
"Y-mAbs Therapeutics, Inc.",0001722964,4,2.0,6,True
"Durata Therapeutics, Inc.",0001544116,0,,0,False
"ARMO BioSciences, Inc.",0001693664,0,,0,False
"TFF Pharmaceuticals, Inc.",0001733413,0,,0,False
Principia Biopharma Inc.,0001510487,3,2.0,4,True
"Braeburn Pharmaceuticals, Inc.",0001688765,8,3.0,7,False
"Juno Therapeutics, Inc.",0001594864,0,,0,False
Egalet Corp,0001586105,17,3.0,10,True
"AUDEO ONCOLOGY, INC.",0001552899,0,,0,False
"Inhibrx, Inc.",0001739614,4,2.0,18,True
"Clearside Biomedical, Inc.",0001539029,4,3.0,10,False
"BioCardia, Inc.",0001635886,1,1.0,2,False
"G1 Therapeutics, Inc.",0001560241,6,2.0,7,True
scPharmaceuticals Inc.,0001604950,5,3.0,2,False
"Flex Pharma, Inc.",0001615219,0,,0,False
MultiVir Inc.,0001613490,0,,0,False
FIBROGEN INC,0000921299,0,,0,False
Allakos Inc.,0001564824,7,2.0,10,False
"Sage Therapeutics, Inc.",0001597553,0,,0,False
"Evelo Biosciences, Inc.",0001694665,0,,0,False
"Unum Therapeutics, Inc.",0001622229,0,,0,False
"AveXis, Inc.",0001652923,0,,0,False
"Recro Pharma, Inc.",0001588972,0,,0,False
Abpro Corp,0001670356,0,,0,False
"Global Blood Therapeutics, Inc.",0001629137,2,1.0,3,False
"Dance Biopharm, Inc.",0001596126,2,2.0,2,False
"Surface Oncology, Inc.",0001718108,1,1.0,2,False
Centrexion Therapeutics Corp,0001592052,12,3.0,9,True
Regulus Therapeutics Inc.,0001505512,0,,0,False
"AKCEA THERAPEUTICS, INC.",0001662524,3,3.0,6,True
"Kite Pharma, Inc.",0001510580,0,,0,False
"Accelerated Pharma, Inc.",0001630970,0,,0,False
"Versartis, Inc.",0001513818,3,3.0,2,True
"ARATANA THERAPEUTICS, INC.",0001509190,0,,0,False
"Eidos Therapeutics, Inc.",0001731831,2,2.0,3,False
"MICROLIN BIO, INC.",0001590930,0,,0,False
MyoKardia Inc,0001552451,3,1.0,2,False
"Epizyme, Inc.",0001571498,1,1.0,4,False
"Hoth Therapeutics, Inc.",0001711786,0,,0,False
TCR2 THERAPEUTICS INC.,0001750019,0,,0,False
"CohBar, Inc.",0001522602,0,,0,False
Cerecor Inc.,0001534120,0,,0,False
"Provention Bio, Inc.",0001695357,2,2.0,2,False
"Tricida, Inc.",0001595585,3,3.0,2,False
"Corium International, Inc.",0001594337,0,,0,False
"ALZHEON, INC.",0001582636,2,1.0,1,False
"S1 Biopharma, Inc.",0001613723,1,2.0,2,False
Zosano Pharma Corp,0001587221,2,2.0,2,False
"Mirna Therapeutics, Inc.",0001527599,1,1.0,7,True
"Loxo Oncology, Inc.",0001581720,0,,0,False
"Ruthigen, Inc.",0001574235,0,,0,False
"Peloton Therapeutics, Inc.",0001525145,0,,0,False
"Cortexyme, Inc.",0001662774,3,3.0,2,False
"Translate Bio, Inc.",0001693415,0,,0,False
"Sun BioPharma, Inc.",0001029125,0,,0,False
"Vyrix Pharmaceuticals, Inc.",0001602413,0,,0,False
"Synthorx, Inc.",0001609727,0,,0,False
"Morphic Holding, Inc.",0001679363,14,2.0,3,True
Entasis Therapeutics Holdings Inc.,0001724344,6,2.0,5,False
"AVROBIO, Inc.",0001681087,1,2.0,1,True
Axovant Sciences Ltd.,0001636050,1,2.0,1,True
"Civitas Therapeutics, Inc.",0001509697,0,,0,False
HOOKIPA Pharma Inc.,0001760542,0,,0,False
"Forty Seven, Inc.",0001667633,0,,0,False
Sunset Island Group,0001689066,0,,0,False
