cik,company_name,executive_name,title_context
0001737953,Replimune Group Inc,Howard L. Kaufman,Dr.&nbsp;Howard L. Kaufman joined us as Chief Medical Officer in September 2017. He has been the Editor-In-Chief of the Journal of Targeted Therapies
0001737953,Replimune Group Inc,Rutgers Cancer,"in Cancer and a Senior Associate Editor at the Journal of Translational Medicine since 2007. Most recently, Dr.&nbsp;Kaufman was Associate Director for Clinical Science of the Rutgers Cancer"
0001737953,Replimune Group Inc,Jason Rhodes,Mr. Jason Rhodes has been a member of our board of directors since September 2015 and a Partner at Atlas Ventures since 2014. He has been a Founder and
0001658247,Crinetics Pharmaceuticals Inc,Barnes Canyon,"President and Chief Executive Officer Crinetics Pharmaceuticals, Inc. 10222 Barnes Canyon Road, Bldg. #2"
0001658247,Crinetics Pharmaceuticals Inc,Scott Struthers,"endocrine diseases. Prior to founding the company, our Chief Executive Officer, Scott Struthers, Ph.D., was Senior Director and Head of Endocrinology and Metabolism at Neurocrine Biosciences, Inc. The"
0001658247,Crinetics Pharmaceuticals Inc,Stephen Betz,"endocrine diseases. Prior to founding the company, our Chief Executive Officer, Scott Struthers, Ph.D., was Senior Director and Head of Endocrinology and Metabolism at Neurocrine Biosciences, Inc. The"
0001658247,Crinetics Pharmaceuticals Inc,Frank Zhu,"endocrine diseases. Prior to founding the company, our Chief Executive Officer, Scott Struthers, Ph.D., was Senior Director and Head of Endocrinology and Metabolism at Neurocrine Biosciences, Inc. The"
0001658247,Crinetics Pharmaceuticals Inc,Development Ajay,"endocrine diseases. Prior to founding the company, our Chief Executive Officer, Scott Struthers, Ph.D., was Senior Director and Head of Endocrinology and Metabolism at Neurocrine Biosciences, Inc. The"
0001658247,Crinetics Pharmaceuticals Inc,Stephen F. Betz,"employees Stephen F. Betz, Ph.D. , is our co-founder and has served as our Vice President, Biology"
0001658247,Crinetics Pharmaceuticals Inc,Matthew K. Fust,Matthew K. Fust has served on our board of directors since February 2018. He is currently a board member and advisor to life sciences companies.
0001658247,Crinetics Pharmaceuticals Inc,Takeda San,"March 2003 until its acquisition by Takeda San Diego, Inc., the U.S. Discovery Research Center for Takeda Pharmaceuticals, in March 2005, and he continued on as President and Chief Scientific Officer "
0001658247,Crinetics Pharmaceuticals Inc,Discovery Research,"March 2003 until its acquisition by Takeda San Diego, Inc., the U.S. Discovery Research Center for Takeda Pharmaceuticals, in March 2005, and he continued on as President and Chief Scientific Officer "
0001658247,Crinetics Pharmaceuticals Inc,Weston Nichols,"biopharmaceutical industry and his experience serving on numerous boards contributed to our board of directors&#146; conclusion that he should serve as a director of our company. Weston Nichols, Ph.D."
0001658247,Crinetics Pharmaceuticals Inc,Marc Wilson,"table&#148; below. In 2017, our only &#147;named executive officer&#148; was R. Scott Struthers, our President and Chief Executive Officer. Marc Wilson,"
0001658247,Crinetics Pharmaceuticals Inc,Perceptive Life,"Weston Nichols, Ph.D., a member of our board of directors, is an analyst at Perceptive Advisors, LLC, an affiliate of Perceptive Life Sciences Master Fund, Ltd."
0001730463,Autolus Therapeutics Ltd,Stephen A. Schwarzman,"Blackstone Group Management L.L.C. Blackstone Group Management L.L.C. is wholly-owned by Blackstone&#146;s senior managing directors and controlled by its founder, Stephen A. Schwarzman. The address o"
0001660334,Verrica Pharmaceuticals Inc,Joe Bonaccorso,"Chief Executive Officer, Linda Palczuk, our Chief Operating Officer, Joe Bonaccorso, our Chief Commercial Officer, Chris Degnan, our Chief Financial Officer, Matt Davidson, our Chief Scientific Office"
0001660334,Verrica Pharmaceuticals Inc,Chris Degnan,"Chief Executive Officer, Linda Palczuk, our Chief Operating Officer, Joe Bonaccorso, our Chief Commercial Officer, Chris Degnan, our Chief Financial Officer, Matt Davidson, our Chief Scientific Office"
0001660334,Verrica Pharmaceuticals Inc,Matt Davidson,"Chief Executive Officer, Linda Palczuk, our Chief Operating Officer, Joe Bonaccorso, our Chief Commercial Officer, Chris Degnan, our Chief Financial Officer, Matt Davidson, our Chief Scientific Office"
0001660334,Verrica Pharmaceuticals Inc,Fairleigh Dickinson,and a B.S. in Biology from Fairleigh Dickinson University. Matt Davidson has served as our Chief Scientific Officer since December
0001660334,Verrica Pharmaceuticals Inc,Associate Vice,"was Associate Vice President of Clinical Development from September 2015 to March 2018, with oversight of the dermatology and rheumatology pipeline. Prior to Sun, Dr. Burnett was at Novartis from 2010"
0001660334,Verrica Pharmaceuticals Inc,Virginia Operations,"President and President of the Human Therapeutics Division at Intrexon Corporation, a synthetic biology company, from 2012 to 2013. Dr.&nbsp;Rieger also served as the Vice President of Research and Vi"
0001660334,Verrica Pharmaceuticals Inc,Forest Labs,"2008 to its acquisition by Forest Labs in 2011. He also previously held the role of Vice President of Lead Development at Adenosine Therapeutics, LLC from 2002 until it was acquired by Clinical Data i"
0001660334,Verrica Pharmaceuticals Inc,Lead Development,"2008 to its acquisition by Forest Labs in 2011. He also previously held the role of Vice President of Lead Development at Adenosine Therapeutics, LLC from 2002 until it was acquired by Clinical Data i"
0001660334,Verrica Pharmaceuticals Inc,Jayson Rieger,"From January&nbsp;1, 2017 to December&nbsp;18, 2017, Matt Davidson acted as our President and Chief Executive Officer. In 2017, Jayson Rieger"
0001660334,Verrica Pharmaceuticals Inc,James Reebals,"acted as our Chief Operating Officer. Beginning on September&nbsp;18, 2017, James Reebals served as our Chief Financial Officer. On December&nbsp;18, 2017, Ted White was appointed as our Chief Executi"
0001660334,Verrica Pharmaceuticals Inc,Ted White,"acted as our Chief Operating Officer. Beginning on September&nbsp;18, 2017, James Reebals served as our Chief Financial Officer. On December&nbsp;18, 2017, Ted White was appointed as our Chief Executi"
0001660334,Verrica Pharmaceuticals Inc,Both Dr,"Chief Scientific Officer. Both Dr.&nbsp;Rieger and Mr.&nbsp;Reebals are employees of PBM Capital Group,&nbsp;LLC. In February&nbsp;2018, we hired Joseph Bonaccorso as our Chief Commercial Officer and "
0001660334,Verrica Pharmaceuticals Inc,Joseph Bonaccorso,"Chief Scientific Officer. Both Dr.&nbsp;Rieger and Mr.&nbsp;Reebals are employees of PBM Capital Group,&nbsp;LLC. In February&nbsp;2018, we hired Joseph Bonaccorso as our Chief Commercial Officer and "
0001660334,Verrica Pharmaceuticals Inc,Former President,"Chief Scientific Officer, Former President and Chief Executive Officer"
0001660334,Verrica Pharmaceuticals Inc,Stock Option,"Board of Directors granted a stock option award for 1,241,476 shares of common stock to the Company&#146;s Chief Executive Officer (&#147;CEO Stock Option Grant&#148;) subject to the Board of Director"
0001727196,Scholar Rock Holding Corp,Springer Ph,"laboratory of our co-founder, Timothy&nbsp;A. Springer Ph.D. of Harvard Medical School and Boston Children's Hospital, of the supracellular activation mechanism by which growth factors in the"
0001727196,Scholar Rock Holding Corp,Strategic Development,"responsibility at Alnylam Pharmaceuticals,&nbsp;Inc., most recently as Vice President, Scientific&nbsp;&amp; Strategic Development. He was also a founder of TwistDx,&nbsp;Inc. a DNA diagnostics"
0001727196,Scholar Rock Holding Corp,Alan J. Buckler,"Alan J. Buckler, Ph.D. has served as our Chief Scientific Officer since November 2016. Prior to joining us, Dr.&nbsp;Buckler served as Vice President,"
0001727196,Scholar Rock Holding Corp,Yung H. Chyung,"Yung H. Chyung, M.D. has served as our Chief Medical Officer since February 2016. Prior to joining us, Dr.&nbsp;Chyung served in roles of increasing"
0001727196,Scholar Rock Holding Corp,Shire Plc,"responsibility at Dyax Corp. (acquired by Shire Plc in January 2016) from 2011 to February 2016, most recently as Vice President of Medical Research, where he was responsible for clinical research and"
0001727196,Scholar Rock Holding Corp,Elan Z. Ezickson,"Elan Z. Ezickson has served as our Chief Operating Officer&nbsp;&amp; Head of Corporate Development since August 2014. Prior to joining us,"
0001727196,Scholar Rock Holding Corp,Living Proof,"venture capital firm, where he has worked since 2002. Dr.&nbsp;Nashat was also the founding Chief Executive Officer of Living Proof,&nbsp;Inc. and Sun Catalytix Corporation. Dr.&nbsp;Nashat"
0001727196,Scholar Rock Holding Corp,Sun Catalytix,"venture capital firm, where he has worked since 2002. Dr.&nbsp;Nashat was also the founding Chief Executive Officer of Living Proof,&nbsp;Inc. and Sun Catalytix Corporation. Dr.&nbsp;Nashat"
0001727196,Scholar Rock Holding Corp,Timothy A. Springer,"Timothy A. Springer, Ph.D. is a co-founder and investor in Scholar Rock and has served as a member of our board of directors since October 2012. Since"
0001727196,Scholar Rock Holding Corp,Scholar Rock,"Timothy A. Springer, Ph.D. is a co-founder and investor in Scholar Rock and has served as a member of our board of directors since October 2012. Since"
0001727196,Scholar Rock Holding Corp,Scientific Advisory,Molecular Pharmacology at Harvard Medical School and Professor of Medicine at Boston Children's Hospital since 2011. Dr.&nbsp;Springer was the Founder and Chairman of the Scientific Advisory
0001468748,Kodiak Sciences Inc,Victor Perlroth,"are led by a team of experienced pharmaceutical industry executives and recognized experts in retinal disease. Our management team includes co-founder, Chairman and Chief Executive Officer, Victor Per"
0001468748,Kodiak Sciences Inc,John A. Borgeson,"M.D., Chief Financial Officer, John A. Borgeson, Chief Medical Officer and Chief Development Officer, Jason&nbsp;S. Ehrlich, M.D., Ph.D., and Senior Vice President &#150; Discovery Medicine, Hong Lian"
0001468748,Kodiak Sciences Inc,Hong Liang,"M.D., Chief Financial Officer, John A. Borgeson, Chief Medical Officer and Chief Development Officer, Jason&nbsp;S. Ehrlich, M.D., Ph.D., and Senior Vice President &#150; Discovery Medicine, Hong Lian"
0001468748,Kodiak Sciences Inc,Jason Ehrlich,"Jason Ehrlich, M.D., Ph.D. joined Kodiak as our Chief Medical Officer and Chief Development Officer in September 2018. Dr. Ehrlich, an"
0001468748,Kodiak Sciences Inc,Stephen Charles,"In June 2015, we purchased 744,843 shares of our common stock from Stephen Charles, a founder and greater than 5% stockholder, for an aggregate"
0001468748,Kodiak Sciences Inc,Baker Brothers,"Dr.&nbsp;Perlroth, our chief executive officer and chairman, and Baker Brothers. The parties to the voting agreement have agreed, subject to certain conditions, to vote their shares to elect as direct"
0001730430,Kiniksa Pharmaceuticals LTD,Our Chairman,"commercialization activities in diseases within both large and orphan indications. Our Chairman and Chief Executive Officer, Sanj&nbsp;K. Patel, has more than 25&nbsp;years of scientific, clinical"
0001730430,Kiniksa Pharmaceuticals LTD,At Synageva,"Prior to serving as our Chief Legal Officer, Mr.&nbsp;Beetham was the Chief Legal Officer and Senior Vice President of Corporate Development for Synageva from October 2013 to June 2015. At Synageva,"
0001730430,Kiniksa Pharmaceuticals LTD,Stephen R. Biggar,"directors, Felix J.&nbsp;Baker, Ph.D. and Stephen R. Biggar, M.D., Ph.D., are associated with 667, L.P. and Baker Brothers Life Sciences, L.P., which beneficially own more than 5%"
0001730430,Kiniksa Pharmaceuticals LTD,Baker Brothers,"directors, Felix J.&nbsp;Baker, Ph.D. and Stephen R. Biggar, M.D., Ph.D., are associated with 667, L.P. and Baker Brothers Life Sciences, L.P., which beneficially own more than 5%"
0001595248,Genprex,Anderson Cancer,"Our leading drug candidate, Oncoprex, is based upon patents and related technology covered by a patent and technology license agreement between The University of Texas MD Anderson Cancer Center, or MD"
0001595248,Genprex,Introgen Research,"Our leading drug candidate, Oncoprex, is based upon patents and related technology covered by a patent and technology license agreement between The University of Texas MD Anderson Cancer Center, or MD"
0001595248,Genprex,Rodney Varner,"Our leading drug candidate, Oncoprex, is based upon patents and related technology covered by a patent and technology license agreement between The University of Texas MD Anderson Cancer Center, or MD"
0001595248,Genprex,Julien L. Pham,"Julien L. Pham, MD, MPH has served as our Chief Operating Officer since October 2016. In March 2013, Dr. Pham co-founded RubiconMD, a healthcare IT company that connects primary care providers to spec"
0001595248,Genprex,Associate Physician,"Julien L. Pham, MD, MPH has served as our Chief Operating Officer since October 2016. In March 2013, Dr. Pham co-founded RubiconMD, a healthcare IT company that connects primary care providers to spec"
0001595248,Genprex,Robert W. Pearson,"Robert W. Pearson has served as a member of our board of directors since July 2012. In June 2009, Mr. Pearson joined W2O Group, a global network of complementary marketing, communications, research an"
0001595248,Genprex,The Americas,"Robert W. Pearson has served as a member of our board of directors since July 2012. In June 2009, Mr. Pearson joined W2O Group, a global network of complementary marketing, communications, research an"
