cik,company_name,pubmed_pre_ipo_count,pubmed_query_method,pubmed_authors_queried
0001661460,"Poseida Therapeutics, Inc.",8,affiliation,0
0001509261,"AntriaBio, Inc.",0,affiliation,0
0001544238,"CARDAX, INC.",1,affiliation,0
0001513856,"Neurotrope, Inc.",0,affiliation,0
0001537663,"Health-Right Discoveries, Inc.",0,affiliation,0
0001739426,Osmotica Pharmaceuticals plc,0,affiliation,0
0001660719,Aralez Pharmaceuticals Inc.,0,affiliation,0
0001557421,"Ignyta, Inc.",1,affiliation,0
0001685462,"Shuttle Pharmaceuticals, Inc.",29,affiliation,0
0001559149,"PAR PHARMACEUTICAL HOLDINGS, INC.",955,affiliation,0
0001595893,"Turning Point Therapeutics, Inc.",0,affiliation,0
0001659323,Iterum Therapeutics Ltd,2,affiliation,0
0001714798,Prevail Therapeutics Inc.,24,affiliation,0
0001633070,Axcella Health Inc.,0,affiliation,0
0001621443,"Zynerba Pharmaceuticals, Inc.",0,affiliation,0
0001717452,"Odonate Therapeutics, LLC",0,affiliation,0
0001656328,"Sienna Biopharmaceuticals, Inc.",0,affiliation,0
0001650648,4D Molecular Therapeutics Inc,0,affiliation,0
0001532346,"Atreca, Inc.",19,affiliation,0
0001651308,"BeiGene, Ltd.",79,affiliation,0
0001566373,"Spring Bank Pharmaceuticals, Inc.",0,affiliation,0
0001657598,"Adgero Biopharmaceuticals Holdings, Inc.",0,affiliation,0
0001533040,Phio Pharmaceuticals Corp.,1,affiliation,0
0001537917,"TYME TECHNOLOGIES, INC.",1,affiliation,0
0001773427,"SpringWorks Therapeutics, Inc.",0,affiliation,0
0001740547,Urovant Sciences Ltd.,0,affiliation,0
0001649989,"Outlook Therapeutics, Inc.",2096,affiliation,0
0001641908,"SANCILIO PHARMACEUTICALS COMPANY, INC.",0,affiliation,0
0001582554,"Matinas BioPharma Holdings, Inc.",0,affiliation,0
0001772028,Scopus Biopharma Inc.,0,affiliation,0
0001589150,Regen BioPharma Inc,0,affiliation,0
0001541157,Celsus Therapeutics Plc.,2,affiliation,0
0001739174,BiomX Inc.,0,affiliation,0
0001684144,Zomedica Pharmaceuticals Corp.,0,affiliation,0
0001600132,"Bellerophon Therapeutics, Inc.",2,affiliation,0
0001557142,"Kadmon Holdings, Inc.",23,affiliation,0
0001718644,"Zander Therapeutics, Inc",103,affiliation,0
0001648419,Aralez Pharmaceuticals Ltd,0,affiliation,0
0001723128,"Amneal Pharmaceuticals, Inc.",16,affiliation,0
0001516551,"Nemus Bioscience, Inc.",0,affiliation,0
0001553643,"RELMADA THERAPEUTICS, INC.",0,affiliation,0
0001515740,PREMIER BIOMEDICAL INC,0,affiliation,0
0001569340,"Cell Source, Inc.",0,affiliation,0
0001509745,"LEAP THERAPEUTICS, INC.",15,affiliation,0
0001618835,"Evofem Biosciences, Inc.",0,affiliation,0
0001580149,"NANOANTIBIOTICS, INC.",0,affiliation,0
0001682639,"EYENOVIA, INC.",1,affiliation,0
0001615999,Kannalife Inc,0,affiliation,0
0001626199,"ALPINE IMMUNE SCIENCES, INC.",0,affiliation,0
0001561551,"Enumeral Biomedical Holdings, Inc.",0,affiliation,0
0001517681,"Propanc Biopharma, Inc.",0,affiliation,0
0001703647,"Frequency Therapeutics, Inc.",435,affiliation,0
0001722964,"Y-mAbs Therapeutics, Inc.",0,affiliation,0
0001544116,"Durata Therapeutics, Inc.",0,affiliation,0
0001693664,"ARMO BioSciences, Inc.",10,affiliation,0
0001733413,"TFF Pharmaceuticals, Inc.",0,affiliation,0
0001510487,Principia Biopharma Inc.,0,affiliation,0
0001688765,"Braeburn Pharmaceuticals, Inc.",6,affiliation,0
