company_name,cik,bucket,latest_periodic_filing,deregistration_date,form25_date
"Aeglea BioTherapeutics, Inc.",1636282,actively_filing,2026-05-05,,
Aptinyx Inc.,1674365,deregistered_or_delisted,2023-05-18,,2023-07-10
"Codiak BioSciences, Inc.",1659352,deregistered_or_delisted,2022-11-03,,2023-05-02
"Cirius Therapeutics, Inc.",1702956,stalled_filing,,,
"Deciphera Pharmaceuticals, Inc.",1654151,deregistered_or_delisted,2024-05-10,2024-06-21,2024-06-11
"Jounce Therapeutics, Inc.",1640455,deregistered_or_delisted,2023-04-28,2023-05-15,2023-05-04
"Lumena Pharmaceuticals, Inc.",1513157,stalled_filing,,,
"RAPT Therapeutics, Inc.",1673772,deregistered_or_delisted,2025-11-06,2026-03-18,2026-03-03
"Rubius Therapeutics, Inc.",1709401,deregistered_or_delisted,2023-02-27,2023-04-10,2023-03-28
Blueprint Medicines Corp,1597264,deregistered_or_delisted,2025-05-01,2025-07-29,2025-07-18
"Dova Pharmaceuticals, Inc.",1685071,deregistered_or_delisted,2019-11-12,2019-11-22,2019-11-12
"Inpellis, Inc.",1638851,stalled_filing,,,
SteadyMed Ltd.,1619087,deregistered_or_delisted,2018-08-14,2018-09-10,2018-08-30
"Dermira, Inc.",1557883,deregistered_or_delisted,2019-11-05,2020-03-02,2020-02-20
"Cidara Therapeutics, Inc.",1610618,deregistered_or_delisted,2025-11-06,2026-01-20,2026-01-07
"resTORbio, Inc.",1720580,actively_filing,2026-05-20,,
"Aimmune Therapeutics, Inc.",1631650,deregistered_or_delisted,2020-07-30,2020-10-23,2020-10-13
"Harpoon Therapeutics, Inc.",1708493,deregistered_or_delisted,2023-11-09,2024-03-21,2024-03-11
Nexvet Biopharma plc,1618561,deregistered_or_delisted,2017-05-11,2017-08-10,2017-07-31
"Neon Therapeutics, Inc.",1694187,deregistered_or_delisted,2020-05-01,2020-05-18,2020-05-06
